canvas_term_id,term_id,name,status,start_date,end_date,grading period
3696,2026~1478*1481,25-26/YL - Elbert Edwin Waddell High School,active,2025-08-25T00:00:00-04:00,2026-06-10T23:59:00-04:00,279
3697,2026~318*321,25-26/YL - Dilworth Elementary School Latta Campus,active,2025-08-25T00:00:00-04:00,2026-06-10T23:59:00-04:00,279
3698,2026~342*343,25-26/S1 - Druid Hills Academy,active,2025-08-25T00:00:00-04:00,2026-01-21T23:59:00-05:00,279
3699,2026~342*345,25-26/YL - Druid Hills Academy,active,2025-08-25T00:00:00-04:00,2026-06-10T23:59:00-04:00,279
3701,2026~358*361,25-26/YL - Eastover Elementary,active,2025-08-25T00:00:00-04:00,2026-06-10T23:59:00-04:00,279
3737,2026~654*657,25-26/YL - Lincoln Heights Montessori,active,2025-08-25T00:00:00-04:00,2026-06-10T23:59:00-04:00,279
3738,2026~406*407,25-26/S1 - Hawthorne Academy of Health Sciences,active,2025-08-25T00:00:00-04:00,2026-01-21T23:59:00-05:00,279
3740,2026~406*409,25-26/YL - Hawthorne Academy of Health Sciences,active,2025-08-25T00:00:00-04:00,2026-06-10T23:59:00-04:00,279
3752,2026~1342*1345,25-26/YL - Irwin Academic Center,active,2025-08-25T00:00:00-04:00,2026-06-10T23:59:00-04:00,279
3757,2026~1382*1385,25-26/YL - Williams Secondary Montessori,active,2025-08-25T00:00:00-04:00,2026-06-10T23:59:00-04:00,279
3758,2026~1382*1383,25-26/S1 - Williams Secondary Montessori,active,2025-08-25T00:00:00-04:00,2026-01-21T23:59:00-05:00,279
3759,2026~1384*1385,25-26/S2 - Williams Secondary Montessori,active,2026-01-22T00:00:00-05:00,2026-06-10T23:59:00-04:00,279
3743,2026~46*47,25-26/S1 - J. M. Alexander Middle,active,2025-08-25T00:00:00-04:00,2026-01-21T23:59:00-05:00,279
3745,2026~46*49,25-26/YL - J. M. Alexander Middle,active,2025-08-25T00:00:00-04:00,2026-06-10T23:59:00-04:00,279
3747,2026~49,25-26/Q4 - J. M. Alexander Middle,active,2026-04-13T00:00:00-04:00,2026-06-10T23:59:00-04:00,279
3755,2026~608*609,25-26/S2 - James Martin Middle,active,2026-01-22T00:00:00-05:00,2026-06-10T23:59:00-04:00,279
3846,2026~750*751,"25-26/S1 - Martin Luther King, Jr Middle",active,2025-08-25T00:00:00-04:00,2026-01-21T23:59:00-05:00,279
3847,2026~752*753,"25-26/S2 - Martin Luther King, Jr Middle",active,2026-01-22T00:00:00-05:00,2026-06-10T23:59:00-04:00,279
3848,2026~750,"25-26/Q1 - Martin Luther King, Jr Middle",active,2025-08-25T00:00:00-04:00,2025-10-31T23:59:00-04:00,279
3849,2026~751,"25-26/Q2 - Martin Luther King, Jr Middle",active,2025-11-03T00:00:00-05:00,2026-01-21T23:59:00-05:00,279
3850,2026~752,"25-26/Q3 - Martin Luther King, Jr Middle",active,2026-01-22T00:00:00-05:00,2026-04-02T23:59:00-04:00,279
3851,2026~753,"25-26/Q4 - Martin Luther King, Jr Middle",active,2026-04-13T00:00:00-04:00,2026-06-10T23:59:00-04:00,279
3852,2026~726*729,25-26/YL - Mallard Creek High School,active,2025-08-25T00:00:00-04:00,2026-06-10T23:59:00-04:00,279
3853,2026~726*727,25-26/S1 - Mallard Creek High School,active,2025-08-25T00:00:00-04:00,2026-01-21T23:59:00-05:00,279
3854,2026~728*729,25-26/S2 - Mallard Creek High School,active,2026-01-22T00:00:00-05:00,2026-06-10T23:59:00-04:00,279
3855,2026~910*913,25-26/YL - North Mecklenburg High School,active,2025-08-25T00:00:00-04:00,2026-06-10T23:59:00-04:00,279
3856,2026~912*913,25-26/S2 - North Mecklenburg High School,active,2026-01-22T00:00:00-05:00,2026-06-10T23:59:00-04:00,279
